"image_id","datetime_str","model_name","clip_area","ref_area","save_dir"
"RC0307Rf_20110830_1151","20110830_1151","RuBsAdDlb3Mxtshcn20210211",2881.99,2969.49,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110830_1151_cnt.png"
"RC0307Rf_20110830_1351","20110830_1351","RuBsAdDlb3Mxtshcn20210211",2634.07,2748.9,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110830_1351_cnt.png"
"RC0307Rf_20110830_1551","20110830_1551","RuBsAdDlb3Mxtshcn20210211",1868.44,1985.11,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110830_1551_cnt.png"
"RC0307Rf_20110831_0751","20110831_0751","RuBsAdDlb3Mxtshcn20210211",2331.46,2393.44,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110831_0751_cnt.png"
"RC0307Rf_20110831_1151","20110831_1151","RuBsAdDlb3Mxtshcn20210211",3026.0,3146.32,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110831_1151_cnt.png"
"RC0307Rf_20110831_1351","20110831_1351","RuBsAdDlb3Mxtshcn20210211",2996.86,3155.45,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110831_1351_cnt.png"
"RC0307Rf_20110901_0751","20110901_0751","RuBsAdDlb3Mxtshcn20210211",2712.45,2779.89,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110901_0751_cnt.png"
"RC0307Rf_20110901_0951","20110901_0951","RuBsAdDlb3Mxtshcn20210211",2902.02,3024.16,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110901_0951_cnt.png"
"RC0307Rf_20110901_1151","20110901_1151","RuBsAdDlb3Mxtshcn20210211",3109.84,3235.62,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110901_1151_cnt.png"
"RC0307Rf_20110901_1351","20110901_1351","RuBsAdDlb3Mxtshcn20210211",3213.72,3317.62,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110901_1351_cnt.png"
"RC0307Rf_20110901_1551","20110901_1551","RuBsAdDlb3Mxtshcn20210211",2805.39,2923.87,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110901_1551_cnt.png"
"RC0307Rf_20110902_0751","20110902_0751","RuBsAdDlb3Mxtshcn20210211",3109.8,3168.14,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110902_0751_cnt.png"
"RC0307Rf_20110902_0951","20110902_0951","RuBsAdDlb3Mxtshcn20210211",2978.6,3093.44,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110902_0951_cnt.png"
"RC0307Rf_20110902_1151","20110902_1151","RuBsAdDlb3Mxtshcn20210211",2962.2,3078.86,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110902_1151_cnt.png"
"RC0307Rf_20110902_1351","20110902_1351","RuBsAdDlb3Mxtshcn20210211",2823.61,2971.25,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110902_1351_cnt.png"
"RC0307Rf_20110902_1551","20110902_1551","RuBsAdDlb3Mxtshcn20210211",2039.8,2309.58,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110902_1551_cnt.png"
"RC0307Rf_20110903_0751","20110903_0751","RuBsAdDlb3Mxtshcn20210211",3272.02,3390.5,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110903_0751_cnt.png"
"RC0307Rf_20110903_0951","20110903_0951","RuBsAdDlb3Mxtshcn20210211",3215.54,3361.36,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110903_0951_cnt.png"
"RC0307Rf_20110903_1151","20110903_1151","RuBsAdDlb3Mxtshcn20210211",3186.38,3326.73,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110903_1151_cnt.png"
"RC0307Rf_20110903_1351","20110903_1351","RuBsAdDlb3Mxtshcn20210211",3131.69,3266.58,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110903_1351_cnt.png"
"RC0307Rf_20110903_1551","20110903_1551","RuBsAdDlb3Mxtshcn20210211",2885.64,2976.78,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110903_1551_cnt.png"
"RC0307Rf_20110904_0751","20110904_0751","RuBsAdDlb3Mxtshcn20210211",3226.46,3348.59,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110904_0751_cnt.png"
"RC0307Rf_20110904_0951","20110904_0951","RuBsAdDlb3Mxtshcn20210211",3210.07,3357.73,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110904_0951_cnt.png"
"RC0307Rf_20110904_1151","20110904_1151","RuBsAdDlb3Mxtshcn20210211",3164.52,3306.7,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110904_1151_cnt.png"
"RC0307Rf_20110904_1551","20110904_1551","RuBsAdDlb3Mxtshcn20210211",3204.59,3262.92,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110904_1551_cnt.png"
"RC0307Rf_20110905_0751","20110905_0751","RuBsAdDlb3Mxtshcn20210211",3157.22,3264.77,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110905_0751_cnt.png"
"RC0307Rf_20110905_0951","20110905_0951","RuBsAdDlb3Mxtshcn20210211",3237.43,3381.44,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110905_0951_cnt.png"
"RC0307Rf_20110905_1151","20110905_1151","RuBsAdDlb3Mxtshcn20210211",3162.7,3295.77,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110905_1151_cnt.png"
"RC0307Rf_20110905_1351","20110905_1351","RuBsAdDlb3Mxtshcn20210211",3153.6,3281.2,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110905_1351_cnt.png"
