"image_id","datetime_str","model_name","clip_area","ref_area","save_dir"
"RC0220Ra_20130304_1352","20130304_1352","RuBsAdDlb3Mxtshcn20210211",1370.12,2098.42,"M:\Remote Cameras\Segmented_images\RC0220Ra\PROCESSED\CHECKED\RC0220Ra_20130304_1352_cnt.png"
"RC0220Ra_20130305_1151","20130305_1151","RuBsAdDlb3Mxtshcn20210211",1968.73,2511.88,"M:\Remote Cameras\Segmented_images\RC0220Ra\PROCESSED\CHECKED\RC0220Ra_20130305_1151_cnt.png"
"RC0220Ra_20130305_1551","20130305_1551","RuBsAdDlb3Mxtshcn20210211",1274.71,2031.53,"M:\Remote Cameras\Segmented_images\RC0220Ra\PROCESSED\CHECKED\RC0220Ra_20130305_1551_cnt.png"
"RC0220Ra_20130306_1151","20130306_1151","RuBsAdDlb3Mxtshcn20210211",2082.92,2807.12,"M:\Remote Cameras\Segmented_images\RC0220Ra\PROCESSED\CHECKED\RC0220Ra_20130306_1151_cnt.png"
"RC0220Ra_20130306_1551","20130306_1551","RuBsAdDlb3Mxtshcn20210211",1286.94,1963.04,"M:\Remote Cameras\Segmented_images\RC0220Ra\PROCESSED\CHECKED\RC0220Ra_20130306_1551_cnt.png"
"RC0220Ra_20130308_0751","20130308_0751","RuBsAdDlb3Mxtshcn20210211",1797.47,2729.65,"M:\Remote Cameras\Segmented_images\RC0220Ra\PROCESSED\CHECKED\RC0220Ra_20130308_0751_cnt.png"
"RC0220Ra_20130309_0751","20130309_0751","RuBsAdDlb3Mxtshcn20210211",1764.04,2665.23,"M:\Remote Cameras\Segmented_images\RC0220Ra\PROCESSED\CHECKED\RC0220Ra_20130309_0751_cnt.png"
"RC0220Ra_20130309_1351","20130309_1351","RuBsAdDlb3Mxtshcn20210211",1697.97,2451.54,"M:\Remote Cameras\Segmented_images\RC0220Ra\PROCESSED\CHECKED\RC0220Ra_20130309_1351_cnt.png"
"RC0220Ra_20130310_1151","20130310_1151","RuBsAdDlb3Mxtshcn20210211",1954.06,2679.9,"M:\Remote Cameras\Segmented_images\RC0220Ra\PROCESSED\CHECKED\RC0220Ra_20130310_1151_cnt.png"
"RC0220Ra_20130310_1551","20130310_1551","RuBsAdDlb3Mxtshcn20210211",1848.86,2481.72,"M:\Remote Cameras\Segmented_images\RC0220Ra\PROCESSED\CHECKED\RC0220Ra_20130310_1551_cnt.png"
"RC0220Ra_20130311_1151","20130311_1151","RuBsAdDlb3Mxtshcn20210211",1843.14,2611.4,"M:\Remote Cameras\Segmented_images\RC0220Ra\PROCESSED\CHECKED\RC0220Ra_20130311_1151_cnt.png"
"RC0220Ra_20130312_1151","20130312_1151","RuBsAdDlb3Mxtshcn20210211",1856.19,2639.93,"M:\Remote Cameras\Segmented_images\RC0220Ra\PROCESSED\CHECKED\RC0220Ra_20130312_1151_cnt.png"
