"image_id","datetime_str","model_name","clip_area","ref_area","save_dir"
"RC1459L_20110119_1345","20110119_1345","RuBsAdDlb3Mxtshcn20210211",461.89,617.57,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110119_1345_cnt.png"
"RC1459L_20110119_1545","20110119_1545","RuBsAdDlb3Mxtshcn20210211",432.84,600.78,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110119_1545_cnt.png"
"RC1459L_20110120_0745","20110120_0745","RuBsAdDlb3Mxtshcn20210211",707.39,925.74,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110120_0745_cnt.png"
"RC1459L_20110120_1145","20110120_1145","RuBsAdDlb3Mxtshcn20210211",427.64,439.91,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110120_1145_cnt.png"
"RC1459L_20110120_1345","20110120_1345","RuBsAdDlb3Mxtshcn20210211",454.79,608.55,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110120_1345_cnt.png"
"RC1459L_20110121_0745","20110121_0745","RuBsAdDlb3Mxtshcn20210211",700.92,911.53,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110121_0745_cnt.png"
"RC1459L_20110121_0945","20110121_0945","RuBsAdDlb3Mxtshcn20210211",528.45,716.44,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110121_0945_cnt.png"
"RC1459L_20110122_0745","20110122_0745","RuBsAdDlb3Mxtshcn20210211",717.71,932.19,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110122_0745_cnt.png"
"RC1459L_20110122_0945","20110122_0945","RuBsAdDlb3Mxtshcn20210211",622.1,815.91,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110122_0945_cnt.png"
"RC1459L_20110122_1345","20110122_1345","RuBsAdDlb3Mxtshcn20210211",459.97,612.43,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110122_1345_cnt.png"
"RC1459L_20110122_1545","20110122_1545","RuBsAdDlb3Mxtshcn20210211",447.67,613.67,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110122_1545_cnt.png"
"RC1459L_20110123_0745","20110123_0745","RuBsAdDlb3Mxtshcn20210211",706.07,914.1,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110123_0745_cnt.png"
"RC1459L_20110123_0945","20110123_0945","RuBsAdDlb3Mxtshcn20210211",691.22,903.11,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110123_0945_cnt.png"
